1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Phase
0.00000517,-0.00185676,0.00016814,0.00013074,-0.00034621,0.00013274,-0.00173234,-0.00180690,0.00053161,-0.00007978,-0.00004813,0.00019998,0.00003464,-0.00043441,0.00002883,0.00049417,-0.00068375,0.00013243,0.00007903,-0.00044854,-0.00001353,-0.00012266,0.00041122,0.00008736,0.00186436,0.00039316,0.00255900,0.00022062,0.00043674,0.00085396,0.00045565,0.00043793,D
-0.00031521,-0.00137327,0.00026700,-0.00197219,0.00383670,-0.00052252,-0.00130577,-0.00127645,0.00049084,-0.00007498,0.00032771,-0.00031938,-0.00010012,0.00015109,0.00003089,-0.00065717,0.00130716,-0.00020477,0.00013330,0.00016576,-0.00001274,0.00000150,0.00011745,-0.00016230,0.00143405,0.00434543,0.00189085,0.00046370,0.00018387,0.00147731,0.00021310,0.00020034,D
-0.00006228,0.00043633,0.00016562,0.00139257,-0.00044223,0.00020754,0.00097774,0.00051748,-0.00000684,-0.00009722,0.00239665,0.00011895,0.00007439,0.00053223,-0.00002982,0.00098964,-0.00125851,0.00021472,0.00067162,0.00052763,-0.00014638,-0.00000654,0.00060851,0.00012892,0.00047084,0.00147577,0.00110626,0.00240156,0.00053823,0.00161534,0.00086654,0.00062205,D
0.00072710,0.00162553,0.00023427,-0.00013061,0.00061131,-0.00012914,0.00115028,0.00155404,-0.00006804,0.00036433,-0.00004561,-0.00007593,0.00034321,0.00051704,0.00002985,-0.00066225,0.00045806,-0.00014639,0.00007502,0.00045068,-0.00002661,0.00020067,-0.00106185,-0.00008473,0.00179608,0.00063831,0.00193464,0.00037494,0.00062130,0.00081843,0.00045765,0.00108396,D
0.00067482,0.00049264,0.00017902,0.00125349,-0.00215971,0.00028819,0.00060625,0.00039496,-0.00001458,0.00105294,-0.00159400,0.00029761,-0.00001687,-0.00036545,-0.00001782,0.00044648,-0.00089388,0.00013463,-0.00017550,-0.00037390,0.00001725,0.00022213,-0.00049948,0.00012050,0.00085448,0.00251369,0.00072370,0.00193342,0.00036627,0.00100821,0.00041339,0.00055977,D
0.00069308,0.00073800,0.00016670,-0.00026906,-0.00196973,0.00007346,0.00050565,0.00065090,-0.00002256,-0.00011584,-0.00214991,0.00007413,0.00000589,0.00007915,-0.00000398,-0.00049115,0.00006128,-0.00006927,-0.00003245,0.00008256,-0.00000258,-0.00037703,-0.00017933,-0.00007209,0.00102605,0.00198938,0.00082454,0.00215431,0.00007946,0.00049978,0.00008875,0.00042368,D
-0.00032142,-0.00043846,0.00004626,-0.00018623,-0.00184608,0.00008214,0.00013048,-0.00035438,0.00006431,-0.00008815,-0.00194139,0.00008431,-0.00031703,-0.00036764,-0.00003764,0.00002588,0.00003864,0.00000271,-0.00011724,-0.00031415,0.00002715,0.00000865,0.00006516,0.00000318,0.00054562,0.00185726,0.00038307,0.00194521,0.00048691,0.00004659,0.00033641,0.00006581,D
-0.00013969,0.00030509,0.00000339,0.00080103,-0.00226884,0.00026855,0.00013528,0.00036132,0.00003043,-0.00089632,0.00080954,0.00014274,0.00005862,0.00023985,-0.00001383,0.00031847,-0.00013637,0.00006013,0.00000155,0.00023087,-0.00001093,-0.00026070,0.00088740,0.00001885,0.00033557,0.00242103,0.00038701,0.00121619,0.00024730,0.00035162,0.00023113,0.00092509,D
-0.00043901,0.00097678,0.00000953,0.00034894,0.00028489,-0.00001095,0.00009178,0.00098788,-0.00004883,-0.00013890,0.00101009,-0.00004670,-0.00009655,0.00021668,0.00000198,-0.00014584,0.00082378,-0.00009016,-0.00001403,0.00020212,-0.00002557,0.00024433,0.00006469,-0.00006111,0.00107095,0.00045060,0.00099334,0.00102066,0.00023722,0.00084144,0.00020421,0.00026003,D
-0.00038589,0.00194531,-0.00003985,0.00034381,0.00071008,-0.00004427,0.00052977,0.00191376,-0.00015873,-0.00009598,0.00134478,-0.00007855,0.00001714,0.00031243,-0.00001593,-0.00000165,0.00013716,-0.00001075,0.00014129,0.00029867,-0.00003545,0.00001385,0.00010796,-0.00001027,0.00198362,0.00079018,0.00199207,0.00135049,0.00031330,0.00013759,0.00033230,0.00010933,D
